"가구번호","여행구분1","여행구분2","여행 월","여행 번째","당일/숙박여행 여부","여행 출발 년","여행 출발 월","여행 출발 일","여행 도착 년","여행 도착 월","여행 도착 일","여행 박","여행 일","여행 시기_주중","여행 시기_주말","여행 시기_휴가/방학","여행 시기_설날/추석","여행 시기_공휴일","여행 주 목적","여행 정보 주요 획득지_1순위","여행 정보 주요 획득지_2순위","참고한 인터넷 사이트_1순위","참고한 인터넷 사이트_2순위","동반자 수_동거 가족이나 친척","동반자 수_비동거 가족이나 친척","동반자 수_그 외 동행자","그 외 동행자 유형_친구/연인","그 외 동행자 유형_(직장)동료","그 외 동행자 유형_단체/모임","그 외 동행자 유형_기타","여행 지출 비용_총비용","여행 지출 비용_출발전 지출비용","여행지 지출비용_단체비용","여행지 지출비용_여행사 상품구입비","여행지 지출비용_숙박비","여행지 지출비용_교통비","여행지 지출비용_식/음료비","여행지 지출비용_문화/오락시설 이용료/관람료","여행지 지출비용_스포츠/레포츠 용품대여/구입비, 경기관람료","여행지 지출비용_기념품 및 쇼핑비","여행지 지출비용_여행지에서 여행관련용품 구입비","여행지 지출비용_기타비용","여행 출발 전 사전예약을 통해  이용한 서비스 여부","사전예약을 한 서비스_숙박시설","사전예약을 한 서비스_교통수단","사전예약을 한 서비스_차량대여/렌트","사전예약을 한 서비스_관광명소","사전예약을 한 서비스_레저시설","사전예약을 한 서비스_체험프로그램","사전예약을 한 서비스_기타","여행상품 구매 또는 이용 여부","구매한 여행상품","구매한 여행상품_부분 패키지 상품(교통)","구매한 여행상품_부분 패키지 상품(차량임대)","구매한 여행상품_부분 패키지 상품(숙박시설)","구매한 여행상품_부분 패키지 상품(레저시설)","구매한 여행상품_부분 패키지 상품(기타)","단체회비/단체경비에 여행상품 구매 비용 포함 여부","항목별 만족도_자연경관","항목별 만족도_문화유산","항목별 만족도_교통","항목별 만족도_숙박시설","항목별 만족도_식당 및 음식","항목별 만족도_쇼핑","항목별 만족도_관광정보 및 안내시설","항목별 만족도_관광지 편의시설","항목별 만족도_지역 관광종사자의 친절성","항목별 만족도_체험프로그램","항목별 만족도_관광지 물가","항목별 만족도_관광지 혼잡도","가중치"
10009,1,2,10,123598,2,2017,10,8,2017,10,9,1,2,,2,,,5,1,3,11,,,2,1,10,,,3,,40000,0,40000,0,0,0,0,0,0,0,0,0,1,1,,,,,,,2,,,,,,,2,4,4,4,4,4,4,4,4,4,9,4,4,10275.6940275931
10009,1,2,12,123602,2,2017,12,15,2017,12,17,2,3,1,2,,,,1,3,8,,,2,1,1,,,,,350000,0,0,0,160000,35000,60000,45000,50000,0,0,0,1,1,,,,,,,2,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,10275.6940275931
10009,2,2,9,201459,2,2017,9,10,2017,9,12,2,3,1,2,,,,4,2,9,,,2,1,1,,,,,550000,0,0,0,0,380000,30000,0,0,140000,0,0,1,,2,,,,,,1,2,,2,,,,,3,9,4,3,5,4,3,3,3,9,3,3,10275.6940275931
10010,1,2,10,122603,1,2017,10,1,2017,10,1,0,1,,2,,,,1,8,2,,,2,8,1,,,,,150000,0,150000,0,0,0,0,0,0,0,0,0,2,,,,,,,,2,,,,,,,2,4,4,4,9,4,9,4,4,4,4,4,4,8025.53789488203
10010,2,2,10,201381,2,2017,10,7,2017,10,11,4,5,1,2,,,5,1,6,1,,,2,3,1,,2,,,3400000,0,0,3000000,0,0,0,0,0,400000,0,0,1,1,2,,4,,,,1,1,,,,,,,5,5,4,4,4,4,4,4,4,4,4,4,8025.53789488203
10010,2,2,9,201380,2,2017,9,3,2017,9,5,2,3,1,2,,,,1,2,6,,,2,3,1,1,,,,3200000,0,0,3200000,0,0,0,0,0,0,0,0,1,1,2,3,4,,,,1,1,,,,,,,5,5,4,5,5,9,4,5,5,4,4,4,8025.53789488203
10011,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017,1,2,8,122627,2,2017,8,10,2017,8,13,3,4,1,2,,,,1,2,6,,,2,1,1,,,,,400000,0,0,0,120000,100000,150000,30000,0,0,0,0,2,,,,,,,,2,,,,,,,,4,4,4,9,4,9,4,4,4,4,4,4,6242.56952800762
10018,1,2,12,121728,2,2017,12,20,2017,12,23,3,4,1,2,,,,1,2,8,,,2,3,1,,,,,840000,0,0,0,360000,120000,330000,30000,0,0,0,0,1,1,,,,,,,2,,,,,,,,5,5,4,4,4,9,4,4,4,4,4,4,10914.8863596528
10019,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,1,2,8,118089,2,2017,8,1,2017,8,3,2,3,1,,3,,,1,2,8,,,3,1,1,,,,,450000,49999.9999999998,0,0,150000,20000,200000,30000,0,0,0,0,1,1,,,,5,,,2,,,,,,,,4,4,4,4,4,9,4,4,4,4,4,4,3225.49501458856
10023,2,2,7,201429,2,2017,7,27,2017,7,30,3,4,1,2,,,,4,2,8,,,3,1,1,,2,,,4500000,200000,0,0,0,3000000,1000000,0,0,300000,0,0,2,,,,,,,,1,2,,2,,,,,4,9,4,4,4,4,4,4,4,9,4,4,2715.15600284142
10024,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,1,1,5,110654,1,2017,5,7,2017,5,7,0,1,,2,,,,1,8,3,,,2,1,3,1,,,,60000,10000,50000,0,0,0,0,0,0,0,0,0,2,,,,,,,,2,,,,,,,2,4,9,4,9,4,9,4,4,4,9,4,4,5529.2345055564
10031,1,1,5,110663,2,2017,5,24,2017,5,25,1,2,1,,,,,1,4,2,1,3,5,2,1,,,,,720000,30000,0,0,240000,50000,400000,0,0,0,0,0,1,1,,,,,,,2,,,,,,,,5,9,4,4,4,9,4,4,4,9,4,4,3649.1180951945
10031,1,2,10,123219,2,2017,10,28,2017,10,29,1,2,,2,,,,1,2,3,,,2,1,2,1,,,,300000,0,300000,0,0,0,0,0,0,0,0,0,1,1,,,,,,,2,,,,,,,1,4,9,5,4,4,9,4,4,4,9,3,4,3649.1180951945
10031,1,2,11,123221,2,2017,11,18,2017,11,19,1,2,,2,,,,1,3,4,1,3,2,1,21,1,,,,300000,20000,280000,0,0,0,0,0,0,0,0,0,1,1,,,,,,,2,,,,,,,1,5,9,4,4,4,9,4,4,4,9,3,3,3649.1180951945
10032,1,1,4,110356,2,2017,4,10,2017,4,12,2,3,1,,,,,1,2,11,,,2,1,1,,,,,100000,0,0,0,100000,0,0,0,0,0,0,0,1,1,,,,,,,1,2,1,,,,,,5,9,5,5,4,9,4,4,4,9,3,4,3382.57467294379
10032,1,1,5,110358,2,2017,5,8,2017,5,10,2,3,1,,,,5,1,2,11,,,2,1,1,,,,,50000,0,0,0,50000,0,0,0,0,0,0,0,2,,,,,,,,1,2,1,,,,,,5,9,4,4,4,4,4,4,4,4,3,4,3382.57467294379
