"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"지역아동센터평화만들기","B1620","(아동) 지역아동센터","아동복지시설","자치구","김명혜","1153000000","구로구","서울특별시 구로구 오리로20길 32 (궁동)"
"서울성로원","B1659","(아동) 아동양육시설","아동복지시설","자치구","김아리","1159000000","동작구","서울특별시 동작구 만양로 60성로원"
"강동지역아동복지센터","B1668","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","유명옥","1174000000","강동구","서울특별시 강동구 구천면로68길 46 (천호동)"
"요셉천사의집","B1676","(아동) 공동생활가정","아동복지시설","자치구","이대호","1147000000","양천구","서울특별시 양천구 오목로5길 20 (신월동 양천롯데캐슬)202동 101호"
"누리지역아동센터","B1687","(아동) 지역아동센터","아동복지시설","자치구","이향숙","1153000000","구로구","서울특별시 구로구 구로동로8길 31-04층"
"밤골아이네공부방","B1692","(아동) 지역아동센터","아동복지시설","자치구","김복순","1129000000","성북구","서울특별시 성북구 화랑로1길 26-3 (하월곡동)"
"은혜지역아동센터","B1704","(아동) 지역아동센터","아동복지시설","자치구","정성준","1153000000","구로구","서울특별시 구로구 고척로52길 9101동 상가 201호 (고척동 양우아파트)"
"정릉중앙","B1719","(아동) 지역아동센터","아동복지시설","자치구","이수연","1129000000","성북구","서울특별시 성북구 정릉로8다길 38"
"암미신월지역아동센터","B1723","(아동) 지역아동센터","아동복지시설","자치구","박귀화","1147000000","양천구","서울특별시 양천구 가로공원로55길 16중앙빌딩 201호"
"즐거운지역아동센터","B1740","(아동) 지역아동센터","아동복지시설","자치구","김영은","1126000000","중랑구","서울특별시 중랑구 동일로95길 16"
"마가렛지역아동센터","B1744","(아동) 지역아동센터","아동복지시설","자치구","오순복","1129000000","성북구","서울특별시 성북구 성북로23길 22-13 (성북동)"
"살레시오신월5동나눔의집","B1745","(아동) 공동생활가정","아동복지시설","자치구","양승애","1147000000","양천구","서울특별시 양천구 월정로 306103동 105호 (신월동 수명산 SK VIEW)"
"돈보스코지역아동복지센터","B1786","(아동) 지역아동센터(지역아동복지센터)","아동복지시설","자치구","나택규","1156000000","영등포구","서울특별시 영등포구 여의대방로 65돈보스코센터 4층 아동복지센터"
"다윤이네집","B1811","(아동) 공동생활가정","아동복지시설","자치구","유채정","1129000000","성북구","서울특별시 성북구 장월로1마길 1-8장월로1마길 1-8"
"아모그린텍장미가정","B1819","(아동) 공동생활가정","아동복지시설","자치구","유명한","1162000000","관악구","서울특별시 관악구 남부순환로152가길 12201호"
"그루터기지역아동센터","B1822","(아동) 지역아동센터","아동복지시설","자치구","황영숙","1138000000","은평구","서울특별시 은평구 연서로21길 193층 (갈현동)"
"비단산지역아동센터","B1849","(아동) 지역아동센터","아동복지시설","자치구","홍석조","1138000000","은평구","서울특별시 은평구 은평터널로 164203호 205호"
"신당꿈지역아동센터","B1850","(아동) 지역아동센터","아동복지시설","자치구","김유미","1114000000","중구","서울특별시 중구 다산로21길 84층(신당동 남정빌딩)"
"데레사의집","B1851","(아동) 아동양육시설","아동복지시설","자치구","박춘옥","1138000000","은평구","서울특별시 은평구 응암로21길 11-20응암3동 579-34"
"서울SOS어린이마을","B1901","(아동) 아동양육시설","아동복지시설","자치구","김도현","1147000000","양천구","서울특별시 양천구 가로공원로58길 46(신월동)"
"강남드림빌","B1902","(아동) 아동양육시설","아동복지시설","자치구","이은영","1168000000","강남구","서울특별시 강남구 양재대로 344-27"
"솔로몬지역아동센터","B1927","(아동) 지역아동센터","아동복지시설","자치구","김병훈","1126000000","중랑구","서울특별시 중랑구 망우로73길 83"
"발음지역아동센터","B1948","(아동) 지역아동센터","아동복지시설","자치구","조은아","1150000000","강서구","서울특별시 강서구 강서로47다길 411층"
"햇살가득지역아동센터","B1953","(아동) 지역아동센터","아동복지시설","자치구","박민하","1156000000","영등포구","서울특별시 영등포구 도신로15라길 2 (도림동)"
"금천미래 지역아동센터","B1966","(아동) 지역아동센터","아동복지시설","자치구","양은선","1154500000","금천구","서울특별시 금천구 시흥대로147길 243층 (독산동)"
"물댄동산난곡 지역아동센터","B2101","(아동) 지역아동센터","아동복지시설","자치구","이경아","1162000000","관악구","서울특별시 관악구 난곡로 2633층(한광빌딩)"
"꿈마을지역아동센터","B2143","(아동) 지역아동센터","아동복지시설","자치구","박병요","1162000000","관악구","서울특별시 관악구 양녕로 422층"
"초롱꽃네","B2145","(아동) 공동생활가정","아동복지시설","자치구","박금옥","1126000000","중랑구","서울특별시 중랑구 망우로66길 32-5수지블루빌101호"
"소년예수의집","B2221","(아동) 공동생활가정","아동복지시설","자치구","조진원","1171000000","송파구","서울특별시 송파구 거마로24길 14"
